Kazama Yumi,659,1176
Asami Yuma,611,721
Yoshizawa Akiho,561,754
Hatano Yui,546,1170
Kawakami Yuu,426,773
Ootsuki Hibiki,374,671
Shouda Chisato,368,543
Sawamura Reiko,360,670
Aoi Sora,352,449
Kasumi Risa,335,466
Yuuki Misa,328,506
Murakami Ryouko,328,521
Haruna Hana,300,403
Shinoda Ayumi,298,536
Mizuno Asahi,288,560
Houjou Maki,284,633
Hatsune Minori,267,528
Tsubomi,266,948
Hatsuki Nozomi,265,511
Meguri,261,390
Mihiro,259,363
Mizuki Nao,257,543
Sakura Kokomi,247,347
Shinoda Yuu,245,541
Nishino Shou,244,505
Kawakami Nanami,242,305
Hamasaki Mao,240,563
Tomoda Maki,240,320
Kobayakawa Reiko,226,431
Aoi Tsukasa,219,238
Kitagawa Erika,214,406
Hasumi Kurea,211,509
Sayama Ai,209,473
Saijou Ruri,205,299
Onda Honoka,203,453
Sasaki Aki,202,401
Megumi Kei,187,254
Miura Eriko,186,281
Matsushima Kaede,183,294
Kanou Hana,182,310
Nagasawa Azusa,182,330
Hatsumi Saki,181,385
Ogawa Asami,180,462
Uehara Ai,180,521
Nakamori Reiko,180,328
Aida Yua,177,287
Kojima Minami,177,200
Kayama Mika,177,231
Honda Riko,175,336
Yokoyama Mirei,174,322
Nanaumi Nana,174,194
Kimijima Mio,171,332
Honoka,170,261
Rukawa Rina,169,183
Endou Shihori,168,268
Ozawa Maria,166,243
Kamihata Ichika,165,364
Okuda Saki,165,187
Iioka Kanako,164,347
Kishi Aino,164,462
Aoki Rin,164,301
Hamasaki Rio,163,443
Makihara Reiko,160,235
Shibuya Kaho,159,323
Natsuki Kaoru,157,271
Otowa Reon,155,237
Mitsuna Rei,152,272
Satou Haruki,149,410
Kirihara Erika,147,212
Kayama Natsuko,145,199
Arimura Chika,145,321
Haruka Megumi,145,193
Rio,145,540
Mori Nanako,144,352
Shiraki Yuuko,143,158
Mari Rika,142,341
Akira Eri,141,377
Shiina Yuna,141,356
Hanyuu Arisa,140,250
AIKA,139,401
Okita Anri,139,243
Naruse Kokomi,138,391
Shino Megumi,137,347
Sunohara Miki,135,306
Oda Mako,135,214
Tsukimi Shiori,135,175
Oshikawa Yuuri,134,247
Fukiishi Rena,134,254
Amamiya Kotone,132,189
Hoshino Nami,132,135
Yumeno Aika,131,140
Nishina Momoka,131,289
Tsuno Miho,129,270
Kurokawa Sumire,129,191
Asuka Kirara,128,138
Kitagawa Hitomi,128,306
Yamamoto Miwako,127,217
Uehara Honami,127,164
Kanae Ruka,126,334
Yamaguchi Reiko,125,157
Satou Miki,125,236
Fukada Eimi,124,233
Amatsuka Moe,124,128
Ozawa Marina,122,138
Enshiro Hitomi,121,198
Haduki Naho,121,237
Abeno Miku,120,322
Hoshino Akari,120,281
Kirihara Azusa,120,202
Ayami Shunka,119,125
Mishima Natsuko,119,239
Ayami,118,182
Shirase Erina,118,137
Kimito Ayumi,117,187
Maki Kokoro,117,125
Tsurata Kana,116,183
Honda Misaki,115,173
Kurata Mao,115,351
Sakura Mana,115,117
MOKA,114,235
Asakura Ayane,114,186
Maki Kyouko,112,251
Mitani Akari,111,283
Kuroki Mai,111,225
Murasaki Ayano,110,159
Kitahara Natsumi,110,191
Kirioka Satsuki,110,176
Tatsumi Yui,110,117
Yoshikawa Aimi,109,213
Tachibana Saya,109,133
Suzumura Airi,108,121
Sakurai Ayu,108,291
Wakatsuki Miina,108,242
Kouzai Saki,107,138
Mihara Honoka,107,236
Momose Emiru,106,187
Azusa Yui,106,114
Saijou Sara,105,217
Nikaidou Yuri,105,190
Minami Riona,105,234
Hachino Tsubasa,105,220
Nanasaki Fuuka,105,167
Hino Hikari,105,303
Kawamura Maya,104,198
Konno Hikaru,104,256
Hanasaki Ian,104,219
Arisawa Misa,104,172
Ashina Yuria,103,163
Honma Yuri,103,190
Takimoto Elena,103,151
Hanai Meisa,103,199
Minato Riku,102,241
Miyazaki Aya,102,231
Oozora Kanon,102,138
Ooba Yui,101,210
Kasumi Kaho,101,401
KAORI,101,253
Ooshima Yuuka,101,103
Kohaku Uta,101,206
Nikaidou Sofia,101,108
Saitou Miyu,98,188
Nagai Mihina,98,229
Aoi Rena,97,305
Tamaki Kurumi,97,205
Kanade Jiyuu,97,192
Jin Yuki,96,186
Kogawa Iori,96,98
Hashimoto Arina,96,99
Aoki Rei,96,359
Chino Azumi,94,180
Yuzuki Marina,94,172
Yanagida Yayoi,94,160
Natsume Eri,94,237
Utsunomiya Shion,94,101
Hasegawa Miku,94,179
Ooura Manami,93,168
Kizaki Jessica,92,454
Kayama Mio,92,186
Sakura Chinami,92,180
Onoue Wakaba,92,280
Fukada Yuuri,92,214
Hoshina Ai,92,215
Miyuu China,92,113
Ichijou Kimika,91,154
Hoshikawa Ririka,91,182
Anno Yumi,90,138
Kirishima Sakura,90,212
Narumiya Iroha,90,142
Misaki Yui,90,164
Hoshizora Moa,90,223
Hoshizaki Yuuna,90,194
Aoyama Rola,90,153
Yuzumoto Saki,90,106
Egami Shiho,89,182
Mori Harura,89,151
Shiina Sora,89,299
Mikami Yua,89,106
Mizusawa Maki,89,141
Kijima Airi,88,156
Asakura Kotomi,88,187
Nonomiya Misato,88,202
Katou Ayano,88,159
Tanihara Nozomi,87,147
Aihara Sae,87,162
Natsuki Minami,87,175
Suzukawa Ayane,87,201
Sakurai Aya,87,136
Nakamura Tomoe,87,112
Tomoda Ayaka,87,270
Ono Yuuko,87,88
Kitajima Rei,86,192
Shimura Reiko,86,113
Minami Tomoka,86,93
Sena Ayumu,86,154
Asagiri Akari,85,164
Natsume Yuuki,85,177
Asahina Akari,85,143
Miyabe Suzuka,84,119
Ayana Rina,84,189
Yabe Hisae,84,140
Rinne Touka,83,165
Mukai Ai,82,189
Arisawa Risa,82,201
Matsushima Reina,82,167
Sakai Chinami,81,129
Uchida Minako,81,135
Shiraishi Marina,80,90
Hagi Azusa,80,123
Wakana Nao,80,138
Ootsuka Saki,79,211
Touma Yuki,79,163
Morikawa Mau,79,86
Atomi Shuri,78,204
Harukaze Emi,78,107
Usa Miharu,78,83
Imai Mai,77,190
Akane Hotaru,77,259
Sonoda Mion,77,83
Murakami Risa,77,176
Hara Chihiro,77,250
Maika,77,230
Nagatsuki Ramu,77,90
Suzumiya Kotone,76,153
Aoyama Nana,76,318
Tsukada Shiori,75,158
Aida Nana,74,95
Yurai Chitose,74,142
Hosaka Eri,74,158
Nagisa Mitsuki,74,166
Matsu Sumire,74,210
Natsuki Anna,74,133
Natsume Iroha Hara Sarasa,73,30
Sakuragi Yukine,73,151
Momose Yuri,73,141
Ootsuka Ren,73,161
Usami Nana,73,167
Oohori Kana,73,173
Mihara Sakiko,73,107
Higuchi Saeko,73,93
Anoaruru,73,139
Hosokawa Mari,73,101
Shinomiya Yuri,72,191
Hoshikawa Maki,72,130
Arimoto Sayo,72,143
Mashiro An,72,236
Niiyama Kaede,72,164
Nishima Nami,72,156
Koike Emiko,72,131
Shiratori Misuzu,72,107
Hayashi Yuna,71,86
Konishi Marie,71,177
Hitzuki Rui,71,128
Kisaki Aya,70,134
Sasakura An,70,186
Akemi Kou,70,138
Nanami Yua,70,130
Takasugi Mari,70,190
Fukada Rina,70,96
Mizumi Saki,69,162
Isshiki Momoko,69,75
Ayase Meru,69,81
Aoi Chie,68,119
Sasaki Reuna,68,161
Tentsuki Kana,68,100
Aizawa Ruru,68,169
Kururigi Aoi,68,196
Yamaguchi Syuri,68,74
Horisaki Ria,68,89
Satou Ayu,67,130
Sasahara Yuri,67,162
Ryuu,67,117
Iori Ryouko,67,118
